country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Sweden,79.58,78.71,78.01,77.21,76.43,74.25,72.26,67.02,68.31,64.24,63.5,62.25,62.38,61.98,61.77,62.22,61.71,60.78,60.07,65.21,
Switzerland,20.65,20.18,20.35,20.38,19.9,19.76,19.27,18.86,17.94,17.71,17.58,17.03,16.53,16.57,16.08,15.66,15.25,14.86,14.43,,
Syrian Arab Republic,25.33,25.55,21.87,27.68,29.59,29.82,29.45,36.01,,,,,,,,,,,,,
"Taiwan, Province of China",,,,,41.65,40.8,39.58,39.13,38.51,40.28,39.7,,,,,,,32.23,,,
"Tanzania, United Republic of",,,,,,,,,,,35.4,34.1,31.5,27.5,25.3,24.3,,,,,
Thailand,,,,,,,,,3.16,3.01,3.14,3.36,3.46,,3.42,3.46,3.38,3.32,3.36,3.32,
Togo,,,,,,,,,,,,,,,,,28.66,24.17,23.8,23.81,
Trinidad and Tobago,,,,,,,,,,,21.0,,,19.8,,,,,,,
Tunisia,,,,,,,,,,,,20.38,,,,,27.22,36.85,36.59,38.11,
Turkey,,,,,,,,,,,,,,6.31,6.94,8.0,8.16,8.56,9.22,9.85,
Uganda,,,,,,,,,,,,,10.71,,,,,10.26,,,
Ukraine,,,,,,,,,56.95,56.84,56.5,55.29,54.67,,46.8,43.8,41.2,39.1,38.8,36.64,
United Kingdom,29.81,29.19,28.95,29.16,28.84,28.38,28.05,27.87,27.15,27.03,26.39,25.72,25.89,25.51,24.94,24.57,23.33,23.14,23.16,23.36,
United States,12.91,12.87,12.77,12.39,12.02,11.96,11.48,11.56,11.91,11.79,11.38,11.33,10.81,10.81,10.65,10.63,10.27,10.31,10.1,9.85,10.29
Uruguay,,,,,,,,,,16.61,28.79,28.1,29.2,30.1,,,,,,,
"Venezuela, Bolivarian Republic of",,,,,,,,,,,,0.2,0.2,,,,,,,,
Viet Nam,,,,,,,,,,,,,13.96,,,,,,49.61,,
Zambia,,,,,,,,,44.38,,,,26.7,,28.96,,,24.61,25.39,23.92,
Zimbabwe,12.8,,,,,,,,,,7.5,,,,15.14,,,17.76,,,
